Código,Unidad,Descripción,Precio (€)
G3T,m2,m2. Vidrio impreso armado color. Espesor 6 mm.,104.54
G4T,m2,m2. Dravel o vidrio armado clasificado para llamas similar.,434.4
H1T,m2,"m2. Vidrios decorados Madrás. Modelos Gaudí, Astral, Hojas tricolor o Tom.",144.61
H2T,m2,"m2.VidriosdecoradosMadrás.ModelosPicks,Milrayas,Escarcha,Alhambra,Espigas, Triana, Rosas o Nebulosa.",110.03
J0T,m2,m2. Doble acristalamiento. Base ► Luna flotada incolora de 4 mm + intercalario hasta 12 mm + Luna flotada incolora de 4 mm.,56.85
J1T,m2,m2. Suplemento por luna flotada incolora. Espesor 5 mm.,4.61
J2T,m2,m2. Suplemento por luna flotada incolora. Espesor 6 mm.,7.87
J3T,m2,m2. Suplemento por luna flotada incolora. Espesor 8 mm.,28.83
J4T,m2,m2. Suplemento por luna flotada incolora. Espesor 10 mm.,40.41
J5T,m2,m2. Suplemento por luna Parsol o luna flotada coloreada. Espesor 4 mm.,16.67
J6T,m2,m2. Suplemento por luna Parsol o luna flotada coloreada. Espesor 5 mm.,24.57
J7T,m2,m2. Suplemento por luna Parsol o luna flotada coloreada. Espesor 6 mm.,32.75
J8T,m2,"m2. Suplemento por vidrio impreso incoloro, cualquier modelo. Espesor 4 mm.",6.87
J9T,m2,"m2. Suplemento por vidrio impreso color, cualquier modelo. Espesor 3/4 mm.",10.87
JAT,m2,"m2. Suplemento por Reflectasol o vidrio de control solar de similares características, incoloro. Espesor 5 mm.",10.51
JBT,m2,"m2. Suplemento por Reflectasol o vidrio de control solar de similares características, incoloro. Espesor 6 mm.",13.23
JCT,m2,"m2. Suplemento por Reflectasol o vidrio de control solar de similares características, color. Espesor 5 mm.",21.03
JDT,m2,"m2. Suplemento por Reflectasol o vidrio de control solar de similares características, color. Espesor 6 mm.",26.46
JET,m2,m2. Suplemento por Antelio o vidrio de control solar de similares características. Espesor 6 mm.,23.64
JFT,m2,m2. Suplemento por Antelio o vidrio de control solar de similares características. Espesor 8 mm.,41.47
JGT,m2,m2. Suplemento por Antelio o vidrio de control solar de similares características. Espesor 10 mm.,67.14
JHT,m2,m2. Suplemento por Cool-lite o vidrio de control solar de similares características. Espesor 6 mm.,47.32
JIT,m2,m2. Suplemento por Cool-lite o vidrio de control solar de similares características. Espesor 8 mm.,65.76
JJT,m2,m2. Suplemento por Cool-lite o vidrio de control solar de similares características. Espesor 10 mm.,72.98
JOT,m2,m2. Suplemento por Planitherm S o vidrio de baja emisividad y aislamiento térmico reforzado de similares características. Espesor 4 mm.,19.62
JPT,m2,m2. Suplemento por Planitherm S o vidrio de baja emisividad y aislamiento térmico reforzado de similares características. Espesor 6 mm.,27.47
JQT,m2,"m2.SuplementoporPlanithermSolarovidriodebajaemisividad,aislamientotérmico reforzado y factor solar elevado de similares características. Espesor 4 mm.",27.47
JRT,m2,"m2. Suplemento por Planistar o vidrio de baja emisividad, aislamiento térmico reforzado y bajo factor solar de similares características. Espesor 4 mm.",19.93
JST,m2,"m2. Suplemento por Planistar o vidrio de baja emisividad, aislamiento térmico reforzado y bajo factor solar de similares características. Espesor 6 mm.",26.01
JTT,m2,m2. Suplemento por Eko Plus S o vidrio de baja emisividad y aislamiento térmico reforzado de similares características. Espesor 4 mm.,28.62
JUT,m2,m2. Suplemento por Eko Plus S o vidrio de baja emisividad y aislamiento térmico reforzado de similares características. Espesor 6 mm.,41.64
JKT,m2,m2. Suplemento por laminar. Espesor 3+3 mm.,35.27
JLT,m2,m2. Suplemento por laminar. Espesor 4+4 mm.,92.73
JMT,m2,m2. Suplemento por laminar. Espesor 5+5 mm.,101.07
JNT,m2,m2. Suplemento por laminar. Espesor 6+6 mm.,103.04
JVT,m2,m2. Suplemento por luna mate . Espesor 4 mm.,28.53
JWT,m2,m2. Suplemento por luna mate. Espesor 5 mm.,33.28
JXT,m2,m2. Suplemento por luna mate. Espesor 6 mm.,40.39
JYT,m2,m2. Suplemento por intercalario de 14 mm o mayor.,2.72
JZT,ud,m. Suplemento barrotillo.,10.73
K1T,m2,m2. Vidrio laminar. Espesor 3+3 mm.,82.99
K2T,m2,m2. Vidrio laminar. Espesor 4+4 mm.,108.11
K3T,m2,m2. Vidrio laminar. Espesor 5+5 mm.,124.66
K4T,m2,m2. Vidrio laminar. Espesor 6+6 mm.,148.93
K5T,m2,m2. Vidrio laminar. Espesor 8+8 mm.,188.07
K6T,m2,m2. Vidrio laminar. Espesor 10+10 mm.,231.89
K7T,m2,m2. Vidrio laminar. Espesor 6+6+6 mm.,235.25
K8T,m2,"m2. Vidrio laminar. Espesor 10+10+2,5 mm.",409.11
K9T,m2,m2. Vidrio laminar. Espesor 3+6+6+6+3 mm.,314.42
L1T,m2,"m2. Butiral transparente color gris, bronce o verde.",21.65
L2T,m2,m2. Butiral translúcido color.,21.65
L3T,m2,m2. Butiral color blanco.,28.86
L4T,m2,m2. Butiral opaco color.,28.86
L5T,m2,m2. Butiral Silence.,21.65
O1T,ud,ud.Puertatempladanormalizadaincolora.Medidas2090a2190mmde altoy 796a 896 mm de ancho.,360.28
O5T,ud,"ud.Puertatempladanormalizadacolorgris,bronceoverde.Medida2090a2190mm de alto y 796 a 896 mm de ancho.",385.82
O9T,ud,ud.PuertatempladanormalizadaClarit.Medida2090a2190mmdealtoy796a896 mm de ancho.,451.27
ODT,ud,ud. Suministro y colocación de pernios alto y bajo para puertas templadas.,72.77
OET,ud,ud. Suministro y colocación de cerradura con llave y pomo para puertas templadas.,76.62
OFT,ud,ud. Suministro y colocación de mecanismo de freno con caja y tapa para puertas templadas.,202.06
P1T,ud,ud. Tapa de mesa terminada de 60 cm de diámetro.,26.43
P2T,ud,ud. Tapa de mesa terminada de 70 cm de diámetro.,28.78
P3T,ud,ud. Tapa de mesa terminada de 80 cm de diámetro.,32.45
P4T,ud,ud. Tapa de mesa terminada de 90 cm de diámetro.,35.49
P5T,ud,ud. Tapa de mesa terminada de 100 cm de diámetro.,38.83
P6T,ud,ud. Tapa de mesa terminada de 110 cm de diámetro.,43.61
P7T,ud,ud. Tapa de mesa terminada de 120 cm de diámetro.,53.79
P8T,ud,ud. Tapa de mesa terminada de entre 61 y 69 cm de diámetro.,30.04
P9T,ud,ud. Tapa de mesa terminada de entre 71 y 79 cm de diámetro.,33.43
PAT,ud,ud. Tapa de mesa terminada de entre 81 y 89 cm de diámetro.,36.83
PBT,ud,ud. Tapa de mesa terminada de entre 91 y 99 cm de diámetro.,41.92
PCT,ud,ud. Tapa de mesa terminada de entre 101 y 109 cm de diámetro.,47.01
PDT,ud,ud. Tapa de mesa terminada de entre 111 y 119 cm de diámetro.,53.79
I1T,m2,m2. Velglas o vidrio antirreflejo de similares características. Espesor 2 mm.,39.54
I2T,m2,m2. Vimat o vidrio mate de similares características. Espesor 4/5 mm.,79.45
I3T,m2,m2.Neoceramovidrioresistentealcalorparachimeneasdesimilarescaracterísticas. Espesor 5 mm.,388.62
I4T,m2,m2. Vidrio lacado cualquier color. Espesor 4 mm.,70.6
I5T,m2,m2. Vidrio lacado cualquier color. Espesor 5-6 mm.,90.86
I6T,m2,m2. Baldosa pisable o baldosa grabada. Espesor 19 mm.,224.48
IMT,ud,ud. Intervención mínima con reposición de vidrio o vidrios. No incluye manufacturas.,24.84
M1T,m2,m2. Mateado de vidrio. Espesor 2 a 4 mm.,16.79
M2T,m2,m2. Mateado de vidrio. Espesor 5 a 8 mm.,20.6
M3T,m2,m2. Mateado de vidrio. Espesor 10 a 12 mm.,25.94
M4T,m2,m2. Mateado de vidrio. Espesor 15 a 19 mm.,51.42
N1T,m2,m2. Templado de vidrio. Espesor 4 a 5 mm.,28.7
N2T,m2,m2. Templado de vidrio. Espesor 6 a 8 mm.,43.05
N3T,m2,m2. Templado de vidrio. Espesor 10 a 12 mm.,69.96
N4T,m2,m2. Templado de vidrio. Espesor 15 a 19 mm.,98.67
Q0T,ud,m. Canto pulido recto en luna. Espesor hasta 6 mm.,2.27
Q1T,ud,m. Canto pulido recto en luna. Espesor de 8 a 12 mm.,3.93
Q2T,ud,m. Canto pulido recto en luna. Espesor 15 mm o mayor.,6.34
Q3T,ud,m. Canto pulido curvo en luna. Espesor hasta 6 mm.,4.09
Q4T,ud,m. Canto pulido curvo en luna. Espesor de 8 a 12 mm.,8.68
Q5T,ud,m. Canto pulido curvo en luna. Espesor 15 mm o mayor.,16.9
Q6T,ud,m. Canto pulido visto recto en laminar. Espesor hasta 6 mm.,6.47
Q7T,ud,m. Canto pulido visto  recto en laminar. Espesor de 7 a 12 mm.,8.58
Q8T,ud,m. Canto pulido visto recto en laminar. Espesor de 13 a 20 mm.,10.72
Q9T,ud,m. Canto pulido visto recto en laminar. Espesor 21 mm o mayor.,12.87
QAT,ud,m. Canto pulido oculto recto en laminar. Espesor hasta 6 mm.,3.23
QBT,ud,m. Canto pulido oculto recto en laminar. Espesor de 7 a 12 mm.,4.29
QCT,ud,m. Canto pulido oculto en laminar. Espesor de 13 a 20 mm.,5.36
QDT,ud,m. Canto pulido oculto en laminar. Espesor 21 mm o mayor.,6.43
R1T,ud,m. Bisel sobre canto recto en luna. Espesor hasta 6 mm.,3.31
R2T,ud,m. Bisel sobre canto recto en luna. Espesor de 8 a 12 mm.,4.69
R3T,ud,m. Bisel sobre canto recto en luna. Espesor 15 mm o mayor.,5.8
R4T,ud,m. Bisel sobre canto curvo en luna. Espesor hasta 6 mm.,16.84
R5T,ud,m. Bisel sobre canto curvo en luna. Espesor de 8 a 12 mm.,21.59
R6T,ud,m. Bisel sobre canto curvo en luna. Espesor 15 mm o mayor.,27.61
S1T,ud,m. Pecho paloma sobre canto recto en luna. Espesor de 10 a 12 mm.,18.61
